Datetime,Bearing 1,Bearing 2,Bearing 3,Bearing 4
2/12/2004 15:42,0.063210948,0.07551775,0.081347722,0.045092338
2/12/2004 15:52,0.06069144,0.076114312,0.080068558,0.044030421
2/12/2004 16:02,0.062270619,0.076443625,0.082008497,0.04452234
2/12/2004 16:12,0.061526784,0.077323258,0.083421114,0.044206993
2/12/2004 16:22,0.061508619,0.075803799,0.079355486,0.04417452
2/12/2004 16:32,0.060630548,0.076185702,0.082237219,0.044368768
2/12/2004 16:42,0.062684164,0.076531276,0.081332731,0.044790322
2/12/2004 16:52,0.061219151,0.075748181,0.082364959,0.044375555
2/12/2004 17:02,0.061413106,0.076758875,0.081681918,0.045033107
2/12/2004 17:12,0.061580302,0.077017042,0.081991796,0.044675179
2/12/2004 17:22,0.061916549,0.075827628,0.081083842,0.044192002
2/12/2004 17:32,0.06114947,0.07548728,0.079663753,0.043656917
2/12/2004 17:42,0.061460569,0.075105376,0.078573661,0.044207383
2/12/2004 17:52,0.061383368,0.076713853,0.08184301,0.043969286
2/12/2004 18:02,0.060116168,0.075344109,0.081254016,0.044294253
2/12/2004 18:12,0.062262317,0.076085502,0.082185947,0.044432199
2/12/2004 18:22,0.060793691,0.0749144,0.082784657,0.044284828
2/12/2004 18:32,0.06178412,0.0763424,0.081285463,0.044677035
2/12/2004 18:42,0.06062464,0.07473822,0.079506861,0.043784511
2/12/2004 18:52,0.061512672,0.076694077,0.081013526,0.044539528
2/12/2004 19:02,0.061635871,0.076284487,0.080074564,0.044700913
2/12/2004 19:12,0.062393086,0.075968748,0.08021129,0.043932126
2/12/2004 19:22,0.060577225,0.076139558,0.079994726,0.045379511
2/12/2004 19:32,0.060348894,0.074789589,0.081326432,0.043911861
2/12/2004 19:42,0.061461839,0.076212608,0.081617218,0.044706431
2/12/2004 19:52,0.060919674,0.07606221,0.080226329,0.043869671
2/12/2004 20:02,0.06096616,0.075273353,0.07948225,0.043128961
2/12/2004 20:12,0.060197031,0.074812589,0.079347038,0.042922262
2/12/2004 20:22,0.061612872,0.076991308,0.081463646,0.043104644
2/12/2004 20:32,0.062087407,0.075831388,0.080927731,0.044375702
2/12/2004 20:42,0.060778895,0.075888813,0.081367205,0.043354217
2/12/2004 20:52,0.062264222,0.075717174,0.081277846,0.045160213
2/12/2004 21:02,0.060654329,0.076348747,0.079166952,0.044337419
2/12/2004 21:12,0.060836564,0.075146931,0.08072528,0.04398916
2/12/2004 21:22,0.060678793,0.076043313,0.079274867,0.044345915
2/12/2004 21:32,0.060815079,0.076158455,0.081370428,0.043719762
2/12/2004 21:42,0.060510962,0.076133014,0.080500122,0.0436597
2/12/2004 21:52,0.060515699,0.076330631,0.080493872,0.043176766
2/12/2004 22:02,0.060748962,0.076049465,0.080591826,0.044359979
2/12/2004 22:12,0.059402656,0.074865032,0.07983217,0.044023048
2/12/2004 22:22,0.060527028,0.076733776,0.081932809,0.044242199
2/12/2004 22:32,0.06077079,0.075722936,0.080631183,0.045051223
2/12/2004 22:42,0.061741833,0.077801553,0.081163143,0.044402461
2/12/2004 22:52,0.061893549,0.076973534,0.081862835,0.044709898
2/12/2004 23:02,0.061243371,0.075463548,0.079192783,0.044677182
2/12/2004 23:12,0.060408956,0.076730211,0.08058206,0.044153621
2/12/2004 23:22,0.061595342,0.076023732,0.080134333,0.043750085
2/12/2004 23:32,0.060023878,0.075038137,0.077043606,0.043952439
2/12/2004 23:42,0.060836857,0.076331657,0.08231608,0.044576102
2/12/2004 23:52,0.060481371,0.074879877,0.081004004,0.043370038
2/13/2004 0:02,0.059133942,0.074981493,0.079530006,0.044441037
2/13/2004 0:12,0.060678207,0.075663069,0.079937106,0.044060647
2/13/2004 0:22,0.060732848,0.074540065,0.077848528,0.044543093
2/13/2004 0:32,0.061104595,0.076389423,0.078023048,0.043665169
2/13/2004 0:42,0.060747644,0.075227648,0.078771229,0.044579813
2/13/2004 0:52,0.060915084,0.07495073,0.078953074,0.043507203
2/13/2004 1:02,0.058880219,0.074510084,0.07851526,0.044342937
2/13/2004 1:12,0.060841399,0.076191269,0.081012452,0.044847698
2/13/2004 1:22,0.061190732,0.075771864,0.081815714,0.043840422
2/13/2004 1:32,0.06205762,0.075653694,0.079867865,0.043573026
2/13/2004 1:42,0.060056057,0.075266322,0.081023927,0.044224523
2/13/2004 1:52,0.060578739,0.075369403,0.081694321,0.043524293
2/13/2004 2:02,0.059355291,0.075005176,0.078933102,0.044103667
2/13/2004 2:12,0.061484106,0.075776356,0.081103911,0.043932321
2/13/2004 2:22,0.060681332,0.076050295,0.079104741,0.044016065
2/13/2004 2:32,0.061475414,0.075945652,0.079980907,0.044492797
2/13/2004 2:42,0.060370282,0.076395869,0.079260022,0.044407246
2/13/2004 2:52,0.06107139,0.075497388,0.078222325,0.04487851
2/13/2004 3:02,0.059843156,0.075837639,0.079184677,0.044272816
2/13/2004 3:12,0.06109478,0.07534572,0.079447239,0.043947165
2/13/2004 3:22,0.060354412,0.075733971,0.079269349,0.044434738
2/13/2004 3:32,0.060180819,0.075857903,0.079969627,0.04399873
2/13/2004 3:42,0.060264906,0.076660384,0.078492065,0.044152254
2/13/2004 3:52,0.0606764,0.07592524,0.0785449,0.044211876
2/13/2004 4:02,0.061193564,0.076424435,0.079676254,0.044615069
2/13/2004 4:12,0.060406367,0.075359344,0.078919771,0.04387265
2/13/2004 4:22,0.059835881,0.0757474,0.080423409,0.043632795
2/13/2004 4:32,0.059874359,0.075293423,0.078849895,0.043906245
2/13/2004 4:42,0.061043752,0.07541252,0.079813077,0.044983446
2/13/2004 4:52,0.060097612,0.075881195,0.079283754,0.044053176
2/13/2004 5:02,0.060136628,0.074231261,0.079218028,0.043625519
2/13/2004 5:12,0.061293813,0.07660628,0.081794814,0.045005567
2/13/2004 5:22,0.059829093,0.075415596,0.07946765,0.043975682
2/13/2004 5:32,0.060349236,0.076156697,0.078184335,0.04350061
2/13/2004 5:42,0.059494555,0.074745154,0.079670589,0.044067874
2/13/2004 5:52,0.062273549,0.075675668,0.080639387,0.044512427
2/13/2004 6:02,0.060695005,0.075518043,0.080988818,0.043849797
2/13/2004 6:12,0.06114947,0.077026417,0.079851262,0.044780702
2/13/2004 6:22,0.060680307,0.075372967,0.080427853,0.04410899
2/13/2004 6:32,0.060591386,0.076100493,0.078061185,0.044237951
2/13/2004 6:42,0.061251672,0.076067533,0.080869134,0.043199277
2/13/2004 6:52,0.061404805,0.075165584,0.081017725,0.044215343
2/13/2004 7:02,0.062205235,0.076139851,0.079119977,0.044290346
2/13/2004 7:12,0.0603382,0.07435656,0.079494946,0.043417208
2/13/2004 7:22,0.060593291,0.0768288,0.079297524,0.043699155
2/13/2004 7:32,0.060206065,0.075107622,0.078204942,0.043055618
2/13/2004 7:42,0.059979247,0.07509644,0.079211924,0.043934079
2/13/2004 7:52,0.060208799,0.075330534,0.079366961,0.044306607
2/13/2004 8:02,0.059257434,0.074939304,0.078029005,0.04376576
2/13/2004 8:12,0.060106792,0.076153279,0.081123737,0.043833048
2/13/2004 8:22,0.059880951,0.075456565,0.081520338,0.043972997
2/13/2004 8:32,0.060054593,0.075005957,0.079031984,0.043597295
2/13/2004 8:42,0.060548122,0.075632404,0.082042971,0.043507349
2/13/2004 8:52,0.061008838,0.076216905,0.08019874,0.044107769
2/13/2004 9:02,0.061485424,0.075239465,0.080926217,0.043598223
2/13/2004 9:12,0.061330924,0.076663314,0.08045803,0.04443508
2/13/2004 9:22,0.060147761,0.076113482,0.079767225,0.043991211
2/13/2004 9:32,0.061197959,0.076719762,0.080065482,0.044655012
2/13/2004 9:42,0.059392597,0.075565115,0.07714698,0.042840129
2/13/2004 9:52,0.060433322,0.075838908,0.077728356,0.043916988
2/13/2004 10:02,0.060975731,0.075780751,0.079876166,0.044015382
2/13/2004 10:12,0.060270521,0.075710533,0.080102691,0.044152742
2/13/2004 10:22,0.060634504,0.076508326,0.080954295,0.043819425
2/13/2004 10:32,0.059841057,0.075081059,0.080532106,0.043946726
2/13/2004 10:42,0.059753504,0.076626984,0.082403731,0.043659212
2/13/2004 10:52,0.060066312,0.07580458,0.079546316,0.043694907
2/13/2004 11:02,0.059673861,0.075932272,0.078583134,0.044976708
2/13/2004 11:12,0.059919674,0.074878656,0.077993115,0.043641682
2/13/2004 11:22,0.060456126,0.076068607,0.079677523,0.043468919
2/13/2004 11:32,0.059075638,0.075136628,0.078089506,0.043891499
2/13/2004 11:42,0.061991211,0.075433273,0.080121783,0.044455882
2/13/2004 11:52,0.060446018,0.076250256,0.079509937,0.043843742
2/13/2004 12:02,0.060247961,0.075751502,0.08077621,0.044865765
2/13/2004 12:12,0.060386347,0.075333415,0.078778163,0.043779628
2/13/2004 12:22,0.061081156,0.075122711,0.077511548,0.043417891
2/13/2004 12:32,0.061375702,0.076862884,0.08169437,0.044474535
2/13/2004 12:42,0.062011817,0.076153767,0.077534352,0.043977196
2/13/2004 12:52,0.060469847,0.074790029,0.079498462,0.043395674
2/13/2004 13:02,0.06098662,0.075506861,0.079218419,0.043795547
2/13/2004 13:12,0.060282045,0.075268226,0.077819132,0.044394551
2/13/2004 13:22,0.061893842,0.076695542,0.079405537,0.04419
2/13/2004 13:32,0.060447971,0.075193418,0.077115338,0.044301919
2/13/2004 13:42,0.060858196,0.07632775,0.080896333,0.043892719
2/13/2004 13:52,0.060008399,0.075298843,0.076593388,0.043449143
2/13/2004 14:02,0.061264661,0.07548601,0.078890717,0.042973339
2/13/2004 14:12,0.060608575,0.07592358,0.079821183,0.043907515
2/13/2004 14:22,0.06107935,0.076082328,0.079828751,0.043899067
2/13/2004 14:32,0.061344255,0.075990283,0.078906587,0.044307583
2/13/2004 14:42,0.061139216,0.076680111,0.079097808,0.044933688
2/13/2004 14:52,0.060455149,0.074801895,0.077601152,0.04313277
2/13/2004 15:02,0.061760145,0.075510279,0.078775526,0.043683969
2/13/2004 15:12,0.060030763,0.075337809,0.077089799,0.043551443
2/13/2004 15:22,0.059602227,0.075506617,0.077681039,0.043052102
2/13/2004 15:32,0.0604718,0.075148347,0.076872162,0.044092778
2/13/2004 15:42,0.059729528,0.075845549,0.078289614,0.043949949
2/13/2004 15:52,0.061589189,0.075971288,0.078095219,0.043979687
2/13/2004 16:02,0.059637726,0.075343474,0.077923776,0.043990332
2/13/2004 16:12,0.05942507,0.074957469,0.077726012,0.044445481
2/13/2004 16:22,0.060484057,0.075055423,0.075991406,0.043837053
2/13/2004 16:32,0.060222569,0.075260413,0.077162752,0.043578544
2/13/2004 16:42,0.060191855,0.075540749,0.079709654,0.043947947
2/13/2004 16:52,0.059483324,0.074593974,0.077186484,0.043130524
2/13/2004 17:02,0.061542263,0.075485033,0.079127887,0.04415616
2/13/2004 17:12,0.060071341,0.075651887,0.079825236,0.04345388
2/13/2004 17:22,0.061402949,0.075820353,0.07857493,0.044122125
2/13/2004 17:32,0.060335466,0.075848332,0.081015137,0.04405469
2/13/2004 17:42,0.061820401,0.075874994,0.078947214,0.045660579
2/13/2004 17:52,0.059263831,0.074926266,0.076827335,0.043549294
2/13/2004 18:02,0.060582841,0.075732409,0.077700718,0.044302017
2/13/2004 18:12,0.059594951,0.075078568,0.077060599,0.042941501
2/13/2004 18:22,0.061560184,0.074947214,0.079192685,0.044726598
2/13/2004 18:32,0.061164608,0.075267689,0.076712974,0.044376923
2/13/2004 18:42,0.060970848,0.075333805,0.076534499,0.04420626
2/13/2004 18:52,0.061462181,0.075421944,0.080223986,0.044666732
2/13/2004 19:02,0.060089116,0.075858782,0.078779921,0.04440793
2/13/2004 19:12,0.059942282,0.075795058,0.080970409,0.043320279
2/13/2004 19:22,0.059244592,0.073904341,0.078511841,0.042872259
2/13/2004 19:32,0.060384003,0.075938864,0.078674105,0.04408516
2/13/2004 19:42,0.060474193,0.074888959,0.077741101,0.044247375
2/13/2004 19:52,0.062169491,0.076111968,0.079558816,0.043985644
2/13/2004 20:02,0.06053152,0.074895552,0.077811905,0.044080277
2/13/2004 20:12,0.060185556,0.075944577,0.079373651,0.04331984
2/13/2004 20:22,0.060937839,0.075689487,0.079278627,0.044488598
2/13/2004 20:32,0.059732604,0.074363983,0.078052004,0.044237414
2/13/2004 20:42,0.059666878,0.075207188,0.077324772,0.043509888
2/13/2004 20:52,0.059739978,0.074570536,0.077852385,0.043918795
2/13/2004 21:02,0.060891303,0.075871722,0.077169247,0.044325651
2/13/2004 21:12,0.060448313,0.076085991,0.077558914,0.04485468
2/13/2004 21:22,0.060670394,0.07389311,0.075868695,0.043141071
2/13/2004 21:32,0.059936667,0.073886371,0.077223937,0.043312955
2/13/2004 21:42,0.061666097,0.075868939,0.078936423,0.04481293
2/13/2004 21:52,0.060856389,0.075408028,0.079643684,0.044140144
2/13/2004 22:02,0.060806534,0.074715367,0.078546023,0.042944236
2/13/2004 22:12,0.061981347,0.07591733,0.080549978,0.044798965
2/13/2004 22:22,0.061027931,0.075027052,0.078400264,0.044765321
2/13/2004 22:32,0.060547341,0.075247717,0.07723175,0.044763074
2/13/2004 22:42,0.061285219,0.075496997,0.079614971,0.044073197
2/13/2004 22:52,0.061170467,0.074687485,0.077206016,0.044076517
2/13/2004 23:02,0.061740173,0.075794375,0.07843508,0.044430343
2/13/2004 23:12,0.061182528,0.07475409,0.076656673,0.043778798
2/13/2004 23:22,0.06083383,0.074843401,0.077787001,0.044090043
2/13/2004 23:32,0.059827677,0.074888959,0.07778329,0.043488159
2/13/2004 23:42,0.061063284,0.074637726,0.077964061,0.043447678
2/13/2004 23:52,0.061001318,0.074127789,0.078172811,0.043682065
2/14/2004 0:02,0.060415987,0.074309146,0.07807139,0.044039943
2/14/2004 0:12,0.059961522,0.074680258,0.077951023,0.043557742
2/14/2004 0:22,0.060195859,0.074979833,0.077627521,0.044556521
2/14/2004 0:32,0.061525367,0.07555281,0.07733112,0.043913179
2/14/2004 0:42,0.061171542,0.075461741,0.078989941,0.044503247
2/14/2004 0:52,0.060858538,0.075050344,0.076070316,0.044690903
2/14/2004 1:02,0.06123966,0.074749402,0.079075004,0.04527682
2/14/2004 1:12,0.06000918,0.0750647,0.075197764,0.043814737
2/14/2004 1:22,0.061500903,0.075196006,0.078566532,0.045406465
2/14/2004 1:32,0.060511793,0.075357342,0.076394209,0.043384198
2/14/2004 1:42,0.061437619,0.074779433,0.076512037,0.044047756
2/14/2004 1:52,0.061868353,0.075022755,0.079237658,0.043854827
2/14/2004 2:02,0.061623321,0.075595537,0.077444553,0.044053274
2/14/2004 2:12,0.060887446,0.075132428,0.077923238,0.044743933
2/14/2004 2:22,0.06074657,0.074668441,0.077513941,0.043933542
2/14/2004 2:32,0.061348357,0.074800088,0.077162752,0.043665755
2/14/2004 2:42,0.060202305,0.073754383,0.077859026,0.043966551
2/14/2004 2:52,0.060879047,0.075060745,0.080035304,0.045152009
2/14/2004 3:02,0.059487621,0.074019972,0.076060843,0.043872797
2/14/2004 3:12,0.060626495,0.075961522,0.077003858,0.043997998
2/14/2004 3:22,0.061269251,0.075374384,0.079685336,0.044421603
2/14/2004 3:32,0.059714683,0.075548318,0.080259583,0.04459539
2/14/2004 3:42,0.060784413,0.07528141,0.07698037,0.044790859
2/14/2004 3:52,0.060063089,0.074864202,0.080950095,0.04478456
2/14/2004 4:02,0.060129352,0.07603843,0.077884467,0.04447263
2/14/2004 4:12,0.059829923,0.074484887,0.076450657,0.043972215
2/14/2004 4:22,0.059943845,0.075694614,0.076839299,0.044330729
2/14/2004 4:32,0.061770497,0.075204746,0.078290346,0.043909078
2/14/2004 4:42,0.060618292,0.074757312,0.077765321,0.043841447
2/14/2004 4:52,0.060332829,0.074930905,0.078385419,0.044327506
2/14/2004 5:02,0.060553933,0.075572782,0.078129743,0.044465062
2/14/2004 5:12,0.060465892,0.075525123,0.077228087,0.044005811
2/14/2004 5:22,0.060802432,0.07541086,0.077553103,0.04478749
2/14/2004 5:32,0.059501587,0.074151326,0.07655701,0.043588554
2/14/2004 5:42,0.061729479,0.076192881,0.078897505,0.043793007
2/14/2004 5:52,0.061142878,0.075474779,0.077744812,0.044414962
2/14/2004 6:02,0.061066068,0.075409932,0.077119488,0.043939792
2/14/2004 6:12,0.061126129,0.074499634,0.077760926,0.044272816
2/14/2004 6:22,0.059735729,0.073984081,0.078688998,0.043219786
2/14/2004 6:32,0.059893452,0.075131891,0.07793403,0.043524147
2/14/2004 6:42,0.061932858,0.074400166,0.078370672,0.044058987
2/14/2004 6:52,0.061505103,0.075125397,0.076554959,0.043803701
2/14/2004 7:02,0.061248303,0.075464525,0.078436887,0.044720299
2/14/2004 7:12,0.061626105,0.074909078,0.079577909,0.043944773
2/14/2004 7:22,0.059835539,0.075046535,0.078570389,0.043930905
2/14/2004 7:32,0.060172323,0.074794326,0.077254309,0.044604082
2/14/2004 7:42,0.061058499,0.074868939,0.077512379,0.043200107
2/14/2004 7:52,0.061517457,0.074748474,0.076312515,0.044900972
2/14/2004 8:02,0.060232775,0.074953709,0.077160359,0.043798135
2/14/2004 8:12,0.061497095,0.074625372,0.078987451,0.044156941
2/14/2004 8:22,0.061528248,0.074922799,0.077549587,0.044625177
2/14/2004 8:32,0.06209185,0.074996728,0.07779623,0.044119049
2/14/2004 8:42,0.060523072,0.074629376,0.075942087,0.043777284
2/14/2004 8:52,0.061782167,0.074487866,0.076528737,0.044126715
2/14/2004 9:02,0.060193906,0.074240344,0.074969774,0.043916793
2/14/2004 9:12,0.061218028,0.074876605,0.076770594,0.043947556
2/14/2004 9:22,0.060753113,0.073944919,0.077761951,0.043907222
2/14/2004 9:32,0.06048308,0.07282421,0.077331266,0.043430539
2/14/2004 9:42,0.061141901,0.074242199,0.078566727,0.043563699
2/14/2004 9:52,0.061595439,0.075061673,0.077096587,0.044419112
2/14/2004 10:02,0.059919723,0.07406973,0.075824454,0.04387265
2/14/2004 10:12,0.060995898,0.075733288,0.077632941,0.043547878
2/14/2004 10:22,0.059914156,0.07396367,0.076578397,0.043573905
2/14/2004 10:32,0.06079999,0.075745691,0.0781712,0.044194834
2/14/2004 10:42,0.060124176,0.074333805,0.075876752,0.043823673
2/14/2004 10:52,0.060856878,0.075786025,0.076553689,0.044388593
2/14/2004 11:02,0.060176425,0.073682553,0.078771717,0.044275404
2/14/2004 11:12,0.061315103,0.075155183,0.080285121,0.045101079
2/14/2004 11:22,0.060546706,0.074585087,0.081146931,0.045276039
2/14/2004 11:32,0.061404903,0.075107818,0.077771473,0.044759949
2/14/2004 11:42,0.060312857,0.074148982,0.077888325,0.044625372
2/14/2004 11:52,0.061760096,0.074260413,0.077899214,0.044647981
2/14/2004 12:02,0.060993261,0.075585136,0.081579618,0.043968114
2/14/2004 12:12,0.06078329,0.075114556,0.078857122,0.045050833
2/14/2004 12:22,0.061416036,0.074611065,0.078012012,0.043864837
2/14/2004 12:32,0.062450168,0.075295278,0.078126569,0.044410762
2/14/2004 12:42,0.059459544,0.074921676,0.078874359,0.04369017
2/14/2004 12:52,0.06073529,0.074116412,0.076916597,0.044584013
2/14/2004 13:02,0.059922994,0.074510035,0.077861175,0.0435052
2/14/2004 13:12,0.061837639,0.074265345,0.077312466,0.044158601
2/14/2004 13:22,0.060687827,0.074056302,0.075361639,0.044245666
2/14/2004 13:32,0.061265784,0.074344402,0.075919039,0.044142927
2/14/2004 13:42,0.06081796,0.075338395,0.076930856,0.043963231
2/14/2004 13:52,0.059994433,0.073717027,0.076467747,0.044023439
2/14/2004 14:02,0.061104107,0.074581864,0.075411641,0.04496577
2/14/2004 14:12,0.06157493,0.075983739,0.079003027,0.044229015
2/14/2004 14:22,0.062030568,0.075797793,0.078467406,0.044361736
2/14/2004 14:32,0.06157703,0.074336735,0.074244397,0.043741931
2/14/2004 14:42,0.060448557,0.074342253,0.075145661,0.044547195
2/14/2004 14:52,0.061389863,0.074826798,0.077113629,0.044199668
2/14/2004 15:02,0.060816837,0.074032423,0.077294057,0.043105376
2/14/2004 15:12,0.061808877,0.074703843,0.07638913,0.043783925
2/14/2004 15:22,0.060154256,0.073878852,0.077364715,0.043659261
2/14/2004 15:32,0.060739343,0.07443923,0.077047512,0.043800039
2/14/2004 15:42,0.060312271,0.074332975,0.075733385,0.043262513
2/14/2004 15:52,0.061463695,0.074507154,0.077537477,0.043937009
2/14/2004 16:02,0.061588163,0.073374921,0.077563162,0.044076371
2/14/2004 16:12,0.060123151,0.075598418,0.076107378,0.044311392
2/14/2004 16:22,0.061394599,0.074129694,0.076723131,0.044131598
2/14/2004 16:32,0.061445676,0.075150935,0.077241613,0.043967967
2/14/2004 16:42,0.060299038,0.074455296,0.077384003,0.043867523
2/14/2004 16:52,0.061686557,0.075247912,0.076322867,0.043965672
2/14/2004 17:02,0.05988393,0.073894819,0.078544118,0.044592461
2/14/2004 17:12,0.061399922,0.075277113,0.077832609,0.043999756
2/14/2004 17:22,0.061597148,0.075005811,0.076357928,0.043876263
2/14/2004 17:32,0.061060892,0.074207139,0.076612042,0.044145222
2/14/2004 17:42,0.060348747,0.074658284,0.077447629,0.043883686
2/14/2004 17:52,0.059197275,0.074452219,0.075758924,0.044504907
2/14/2004 18:02,0.059458665,0.074066312,0.07527472,0.043644416
2/14/2004 18:12,0.060335759,0.074164266,0.077071048,0.043111041
2/14/2004 18:22,0.06131442,0.074535671,0.076309244,0.04395366
2/14/2004 18:32,0.059259192,0.074716539,0.07641501,0.044200303
2/14/2004 18:42,0.062384003,0.075517945,0.077920406,0.04434948
2/14/2004 18:52,0.061405928,0.074778505,0.077777675,0.044701353
2/14/2004 19:02,0.061936227,0.0746931,0.077348601,0.043785781
2/14/2004 19:12,0.06097285,0.075020606,0.076515504,0.044835685
2/14/2004 19:22,0.060815958,0.074557644,0.075507154,0.043418624
2/14/2004 19:32,0.060482983,0.074149324,0.076466527,0.043880121
2/14/2004 19:42,0.060903755,0.074239709,0.078035646,0.043949509
2/14/2004 19:52,0.060319937,0.07222589,0.076573124,0.044353875
2/14/2004 20:02,0.061468285,0.074325065,0.077990039,0.04437702
2/14/2004 20:12,0.06038288,0.074392646,0.078228869,0.044045022
2/14/2004 20:22,0.061992822,0.074106451,0.077530983,0.044382441
2/14/2004 20:32,0.06078412,0.072995068,0.076163338,0.044416915
2/14/2004 20:42,0.060761951,0.073720104,0.075654573,0.043157234
2/14/2004 20:52,0.059587626,0.072947996,0.075802432,0.042929
2/14/2004 21:02,0.060476146,0.073418136,0.077524537,0.044092729
2/14/2004 21:12,0.060766541,0.074543972,0.078434592,0.044134723
2/14/2004 21:22,0.060551199,0.074700913,0.07612232,0.044127252
2/14/2004 21:32,0.061151814,0.074543972,0.076466136,0.044148298
2/14/2004 21:42,0.059999121,0.074505054,0.07451399,0.04401543
2/14/2004 21:52,0.06182465,0.075210557,0.077733141,0.043693003
2/14/2004 22:02,0.061580839,0.074748914,0.077025148,0.04415113
2/14/2004 22:12,0.060121148,0.074337761,0.077198203,0.043744812
2/14/2004 22:22,0.060929782,0.074762488,0.076070609,0.043747449
2/14/2004 22:32,0.060423116,0.074193857,0.077169784,0.043537136
2/14/2004 22:42,0.059452317,0.073145368,0.074777186,0.043355877
2/14/2004 22:52,0.060602227,0.073543825,0.076613604,0.043959959
2/14/2004 23:02,0.061344548,0.074100591,0.077269544,0.044405
2/14/2004 23:12,0.061220421,0.074491772,0.078167489,0.044513111
2/14/2004 23:22,0.060433664,0.07491982,0.077557596,0.043832072
2/14/2004 23:32,0.060962254,0.074206748,0.076616143,0.044257776
2/14/2004 23:42,0.061006104,0.074808633,0.07914991,0.04415909
2/14/2004 23:52,0.060592119,0.074103765,0.075680453,0.043240588
2/15/2004 0:02,0.061611456,0.074014844,0.076420821,0.043768641
2/15/2004 0:12,0.059739782,0.073791689,0.076822403,0.043598906
2/15/2004 0:22,0.059271107,0.07453738,0.074422042,0.044362811
2/15/2004 0:32,0.059799893,0.073961424,0.076216563,0.043940231
2/15/2004 0:42,0.061272181,0.07359959,0.076825187,0.04404595
2/15/2004 0:52,0.061436887,0.074384931,0.076194931,0.043550271
2/15/2004 1:02,0.060031642,0.074471556,0.079343913,0.043581523
2/15/2004 1:12,0.061380292,0.074686264,0.076307095,0.04530021
2/15/2004 1:22,0.06080502,0.074039895,0.075294887,0.044109917
2/15/2004 1:32,0.060475072,0.073321256,0.075526735,0.043839396
2/15/2004 1:42,0.059929635,0.074234191,0.075694126,0.043442502
2/15/2004 1:52,0.061774257,0.073412032,0.077170321,0.043475365
2/15/2004 2:02,0.061135016,0.074774696,0.080046828,0.044362127
2/15/2004 2:12,0.061120367,0.073099956,0.077217149,0.043957566
2/15/2004 2:22,0.060758631,0.074487377,0.078568875,0.043184775
2/15/2004 2:32,0.059352263,0.07282045,0.078041604,0.043326188
2/15/2004 2:42,0.06045427,0.075039406,0.077285658,0.044461009
2/15/2004 2:52,0.060123981,0.073761219,0.077582939,0.043324918
2/15/2004 3:02,0.059872894,0.072760584,0.075613995,0.044784462
2/15/2004 3:12,0.059211778,0.074707896,0.076584941,0.043517603
2/15/2004 3:22,0.061467454,0.073433273,0.078218614,0.044429025
2/15/2004 3:32,0.061618487,0.074644709,0.075999756,0.044277601
2/15/2004 3:42,0.061253919,0.07375072,0.077135749,0.043651057
2/15/2004 3:52,0.061407832,0.075501685,0.078065433,0.044264515
2/15/2004 4:02,0.062244153,0.07488476,0.077422921,0.043310074
2/15/2004 4:12,0.061872797,0.075079936,0.076889204,0.043776747
2/15/2004 4:22,0.060894526,0.074325748,0.076662337,0.044263782
2/15/2004 4:32,0.060628693,0.074860784,0.077182138,0.044109673
2/15/2004 4:42,0.061670199,0.073922555,0.076620636,0.043782558
2/15/2004 4:52,0.058805459,0.073129743,0.074208018,0.043357488
2/15/2004 5:02,0.060977245,0.074060452,0.078595146,0.043699448
